bimo0001072538,El principio de intervención : discurso pronunciado en la Academia Matritense de Juriprudencia y Legislación el 5 de abril de 1881 resumiendo los debates públicos de la misma,,,
bimo0001072541,El problema político-pedagógico en España : discurso parlamentario,,,
bimo0001072543,El primer presupuesto de Cuba discurso pronunciado en el Congreso de los Diputados el 15 de abril de 1880,,,
bimo0001072548,"La reforma electoral en las Antillas españolas discursos pronunciados en el Congreso de los Diputados de España, en marzo y abril de 1890",,,
bimo0001072555,La República y las libertades de Ultramar,,,
bimo0001072563,Turquía y el Tratado de París de 1856 : 4ª conferencia (16 de diciembre de 1877),,,
bimo0001081023,El año triste,,,
bimo0001081038,Noticias biográficas acerca del Excmo. Sr. Marqués del Mantillo,,,
bimo0001082323,"Coleccion de artículos dramáticos, literarios políticos y de costumbres publicados en los años 1832, 33-34-[35-36] en el ""Pobrecito hablador"", la Revista española, el Observador, [la Revista mensagero y el Español] Fígaro",,,
bimo0001091447,Hijos ilustres de la provincia de Santander estudios biográficos,,,
bimo0001094393,La reina y los favoritos : drama histórico en dos partes. Primera parte,,,
bimo0001094649,Encíclica de su Santidad sobre la masonería y fórmula de adhesión a la doctrina del Papa León XIII,,,
bimo0001104759,Cada uno a lo suyo-- : paso de comedia en prosa,,,
bimo0001104798,Entre fieras,,,
bimo0001104834,¡Mal año de lobos! : comedia en tres actos y en prosa,,,
bimo0001104848,"No hay dificultad : paso de comedia : estrenada en el Teatro Lara, de Madrid, el 31 de mayo de 1928 ; y Cristobalón: tragedia rústica, de ambiente gallego, en dos actos y en prosa : estrenada en el Teatro Nacional, de La Habana, la noche del 26 de abril de 1920, y en el Teatro Lara, de Madrid, la del 15 de octubre del mismo año",,,
bimo0001104849,El Pájaro sin alas Comedia en tres actos,,,
bimo0001104857,"Primero, vivir : comedia en tres actos y en prosa",,,
bimo0001104863,La razón de la sinrazón Quisicosa en un acto y en prosa,,,
bimo0001104865,Los Rikaldy Tragicomedia en tres actos,,,
bimo0001110802,Una excursión a San Martín de Elines : (provincia de Santander),,,
bimo0001110803,Discurso leído ante esta corporación en la Fiesta del libro español de 1927,,,
bimo0001113605,Aliatar : leyenda oriental y en verso,,,
bimo0001113611,Discurso pronunciado por el Excmo. Sr. D. Antonio López Muñoz en la velada parlamentaria del Centenario de las Cortes de Cádiz,,,
bimo0001113613,Elementos de lógica,,,
